State,Profit,Quantity
California,20.6976,14
Pennsylvania,10.35,2
California,2.3814,3
California,5.1042,3
California,68.976,3
Missouri,218.2518,3
California,20.1579,7
Ohio,12.9096,4
Wisconsin,103.8015,11
Wisconsin,5.998800000,3
Wisconsin,585.552,8
Wisconsin,80.6285,5
Arizona,17.766,5
Arizona,15.2388,2
California,26.271,7
California,48.5392,4
California,21.0288,6
Washington,1.7901,3
Washington,51.476400000,2
Oklahoma,6.8714,2
Oklahoma,236.2325,7
California,2.691,1
Pennsylvania,1.3596,2
New Mexico,13.348,5
Washington,9.688,2
Texas,2.7324,3
Texas,-1359.992,8
Texas,-58.6347,3
Texas,-24.858000000,9
Texas,6.8136,6
Texas,-453.849,5
Texas,8.998500000,3
California,9.8418,3
California,53.2608,2
California,21.259,7
Illinois,-131.12,2
Illinois,6.552,4
Texas,-243.16,4
Ohio,-11.337200000,7
Ohio,-3.7715,5
New York,1.4104,1
Illinois,1.8612,2
Illinois,76.6395,7
Louisiana,131.0296,4
Louisiana,41.986,5
Louisiana,7.25,2
Connecticut,3.4368,2
California,22.984,8
Texas,3.7224,3
Texas,6.255,3
New York,112.392,4
New York,20.0928,6
New York,24.8832,8
New York,46.9764,3
New York,6.567,5
California,6.7116,7
Ohio,1.2038,2
Ohio,1.5876,3
New Jersey,12.0276,3
Pennsylvania,-2.2586,2
Pennsylvania,5.8203,3
Ohio,6.795,3
Colorado,-161.875,2
Colorado,0.2925,1
Texas,-178.9668,2
Tennessee,9.6712,7
California,44.4768,4
Michigan,5.874400000,4
Michigan,35.6346,2
Michigan,7.4824,4
Michigan,16.2099,9
Michigan,3.679600000,1
Texas,6.5,2
Ohio,8.88,2
Ohio,-244.323,5
Ohio,-14.6958,3
Ohio,-950.4,9
Ohio,4.479200000,2
California,26.0568,6
California,22.6782,3
Ohio,1.8148,2
Ohio,8.2302,6
Ohio,-13.8432,4
Ohio,19.0848,4
Ohio,-383.9904,4
Ohio,2.7168,2
Michigan,0.968,1
Michigan,136.939,5
Michigan,0.219800000,1
Tennessee,-28.2744,2
Tennessee,43.8408,8
North Carolina,-12.432,7
Florida,-102.048,2
Florida,-248.2458,3
Florida,-3.552,2
Florida,0,3
Florida,-7.724700000,3
California,4.752,2
Illinois,9.396,5
Illinois,-356.728,5
Illinois,-4.6752,3
Illinois,11.1944,2
Illinois,-120.513,5
Illinois,-2.8308,3
Illinois,1.2038,2
Minnesota,580.5394,7
Minnesota,41.68,2
Minnesota,23.94,6
Minnesota,496.0725,5
Minnesota,12.4416,4
California,28.1372,2
California,3.5767,1
California,636.0003,13
New York,22.5624,6
New York,162.864,4
Illinois,-8.4924,9
Illinois,-19.5624,2
Illinois,4.044,5
Illinois,56.6916,6
New York,6.9258,3
New York,6.646500000,3
New York,6.132,5
Texas,-4.466,2
Texas,-509.997000000,3
Texas,-251.9958,7
Illinois,28.7196,4
California,35.156,2
North Carolina,4.7304,3
New Jersey,0.3024,6
Ohio,-7.4416,1
Ohio,21.591,3
California,210.4936,4
California,92.3692,7
California,2.3232,3
California,4.095,3
California,4.0572,2
California,1.5548,1
Pennsylvania,4.0768,2
Pennsylvania,5.9072,4
Pennsylvania,5.9712,6
Pennsylvania,8.694,3
Texas,-3.432,5
Texas,376.11,7
California,51.942,5
Oregon,47.844,5
Oregon,47.96,5
Oregon,10.8864,6
Florida,-169.372,7
Florida,24.316,2
Florida,-204.3145,5
Ohio,6.6836,7
Ohio,6.2424,8
Ohio,54.3966,2
Ohio,-48.7032,3
Colorado,78.8592,8
Colorado,20.1558,3
Colorado,-24.5646,3
Colorado,-62.88,5
Colorado,9.2988,3
New Jersey,15.552,5
New Jersey,10.824800000,8
New Jersey,27.3168,3
New Jersey,38.024,4
New Jersey,6.5688,1
Illinois,-131.445,3
New York,12.864,2
Michigan,2.8536,3
New Jersey,20.9208,3
New Jersey,83.868,6
Virginia,2.0049,1
Colorado,3.5948,4
Colorado,52.5114,2
Colorado,1.7136,1
Colorado,2.0358,3
New Jersey,37.6422,3
Florida,22.298,2
Florida,5.4432,3
Pennsylvania,8.6744,4
New York,24.1568,1
New York,1995.99,2
New York,80.0226,6
New York,129.6,4
New York,13.071,1
California,3.58,2
California,81.744,6
California,34.9965,1
Tennessee,0.999500000,1
Pennsylvania,-67.8762,3
Pennsylvania,3.389,2
Pennsylvania,-258.5016,4
Pennsylvania,33.831,10
Pennsylvania,-27.6936,6
Pennsylvania,-20.7,2
Pennsylvania,-13.816,2
Pennsylvania,-3.4272,3
California,1.6038,1
California,335.9944,2
California,4.49,4
California,2.7956,2
California,-17.458800000,3
Utah,2.3312,4
Pennsylvania,1.116,4
Pennsylvania,-407.976,10
Pennsylvania,10.0724,13
Pennsylvania,8.391600000,12
Texas,-2.220000000,4
California,4.7976,3
Massachusetts,3.0996,3
Massachusetts,11.5432,2
Massachusetts,4.1472,2
New York,2.3086,1
New York,11.5432,2
New York,1.0668,1
New York,23.0864,4
New York,1415.4296,4
New York,-4.8588,6
New York,3.7996,2
New York,6.9864,4
New York,15.824,5
North Carolina,11.325,5
Georgia,168.4384,8
Georgia,9.936,2
New York,9.936,2
New York,86.8704,3
New York,1.4456,2
New York,20.7328,8
California,8.478400000,4
Connecticut,10.44,4
Connecticut,0.1472,2
Connecticut,29.3412,7
Connecticut,271.4192,4
Texas,9.396,5
Texas,4.6746,3
Arizona,-5.712,5
Arizona,179.1888,8
Arizona,0.924,1
Arizona,-29.94,10
Illinois,30.98,4
Massachusetts,-297.6848,7
Texas,-20.3322,3
Texas,2.6811,3
Texas,-18.8728,4
California,25.48,7
California,17.3376,3
Michigan,8.799,2
Florida,-157.0095,3
Florida,-1.0497,3
Pennsylvania,-337.638,4
Pennsylvania,0.777,1
Ohio,0.4264,1
New York,7.884,4
New York,13.5932,2
Washington,27.7182,2
Washington,701.9883,3
Illinois,-20.5623,3
Nevada,25.5798,3
Rhode Island,9.4924,2
Rhode Island,6.2208,2
Michigan,21.036,4
Texas,3.5952,3
Texas,-317.1528,4
Texas,-32.784,4
Texas,0.719800000,2
Florida,3.4684,2
North Carolina,9.768,6
New York,9.6957,3
California,37.7895,5
California,434.9913,3
California,13.3035,5
California,-112.9527,7
California,4.6464,1
California,13.608,9
California,27.4302,1
California,31.454800000,13
California,-18.4548,2
Washington,65.7342,7
Washington,26.8744,4
California,25.8984,8
California,38.38,5
Kentucky,2.8322,1
California,2.7028,4
California,7.015,1
Colorado,56.5662,6
Massachusetts,14.7056,4
Massachusetts,8.502,3
Mississippi,225.264,4
Michigan,11.076,2
Michigan,138.2016,8
New York,30.0957,1
Texas,0.5004,6
North Carolina,-145.3508,2
North Carolina,76.6395,7
North Carolina,54.7425,5
North Carolina,-0.774800000,2
Massachusetts,207.147,5
Florida,-3.6892,2
Florida,-18.585,5
Illinois,43.1991,3
Illinois,113.6394,7
Texas,11.5536,8
New York,2.309400000,3
Michigan,3.666,1
Michigan,23.3928,3
Michigan,20.5755,3
Michigan,42.0256,4
Michigan,29.1528,3
Michigan,10.584,7
Indiana,1.3677,1
New York,15.4752,3
New York,9.716400000,3
New York,71.2476,6
New York,7.9248,3
New York,2.8536,3
New York,9.1312,4
Ohio,-75.830400000,2
Ohio,66.5408,2
Oklahoma,24.9132,4
California,-24.294,2
Illinois,-96.114600000,3
Illinois,3.348,2
Washington,36.372,4
Washington,377.9622,9
Washington,18.6006,3
Arizona,7.068,5
Arizona,-814.4832,6
Arizona,-20.889,5
Arizona,-34.758,2
Arizona,5.8704,2
Illinois,-312.0614,7
Texas,-36.2352,2
Illinois,-7.9002,3
New York,26.6304,1
California,3.409200000,3
California,10.4784,2
California,87.996000000,4
California,24.9804,6
California,28.819,7
California,45.528,5
California,7.182,6
New York,19.296,3
New York,6.615,5
New York,84.51,5
California,1.9089,3
New York,1.6688,2
New York,57.5928,2
California,14.8,2
California,-30.245,5
California,17.4975,5
Illinois,341.994,6
Texas,0.5994,1
Texas,10.3974,2
Texas,6.1572,2
New York,8.983000000,5
New York,5.0922,3
Washington,13.1572,2
Tennessee,-94.941,3
Arkansas,51.6558,2
California,40.3704,8
California,81.8432,4
California,18.1176,2
California,22.869,9
Colorado,-15.08,2
Colorado,-11.9616,2
Colorado,50.098,2
Colorado,-1.9008,3
Colorado,11.8871,1
New York,5.373,5
Georgia,0.7398,1
Georgia,2.1684,3
Georgia,11.685,3
Georgia,3177.475,5
Missouri,40.416,3
Missouri,12.1728,2
Ohio,0.7152,3
California,1.7901,3
California,1.7052,2
Montana,1379.977,5
Montana,13.8915,3
Montana,5.382,2
Montana,56.301,3
Texas,5.2877,1
Texas,-25.9136,2
Texas,-21.168,9
Michigan,21.098,2
California,-12.4146,3
California,27.1666,2
Massachusetts,10.434,5
Florida,42.747,3
Florida,5.140800000,3
Pennsylvania,-7.2672,3
Pennsylvania,-149.9058,1
Pennsylvania,19.692,6
California,11.92,1
California,2.397,3
Alabama,274.386,5
Alabama,11.375,5
Arizona,1.4672,2
Illinois,-68.1856,7
New York,3.36,4
Kentucky,41.2938,3
Kentucky,70.98,4
Wisconsin,206.316,6
Arizona,38.0864,8
Ohio,-145.5246,9
Texas,7.264000000,2
Texas,6.2995,1
Texas,-84.2928,4
New York,13.932,6
New York,6.4128,2
Illinois,15.642,9
Illinois,-17.046,3
Illinois,-1.744,5
California,0,2
Florida,6.0382,1
Texas,2.5707,3
California,310.9872,2
North Carolina,3.4048,4
California,9.936,2
California,-217.048,4
California,15.552,5
California,16.614,3
California,27.3182,7
Florida,1.3,5
Florida,3.7743,3
Washington,0,2
Washington,1.2006,1
California,46.797,3
Washington,45.0016,8
Washington,27.3672,7
Washington,9.3312,3
Washington,0,3
New York,34.776,7
New York,6.4216,4
New York,11.2266,7
New York,4.0095,3
Washington,2.3814,3
California,78.7528,14
California,9.7608,4
California,2.19,2
Illinois,8.714,2
Illinois,-5.7148,1
California,1.5456,4
Colorado,52.9173,3
Colorado,9.238600000,2
Colorado,3.5046,3
Colorado,-4.7481,7
Colorado,30.4776,4
Kentucky,4.9686,1
Kentucky,144.5157,3
Oregon,-20.1362,2
Oregon,7.2576,4
Oregon,-12.8961,3
Oregon,3.6288,2
Texas,1.168,2
Texas,9.75,3
California,22.0748,2
California,434.9913,3
California,55.745000000,5
California,91.7728,8
Pennsylvania,1.0178,2
Pennsylvania,-28.7964,3
Pennsylvania,-115.3544,4
Pennsylvania,0.73,2
Florida,17.847,1
Florida,5.140800000,3
Florida,-5.5338,3
Florida,-31.6712,4
Florida,47.8152,3
Pennsylvania,-2.6256,2
Pennsylvania,2.3814,9
Pennsylvania,-10.1178,2
Texas,41.5773,3
Texas,5.6956,4
Pennsylvania,2.64,2
Pennsylvania,-157.9383,9
Ohio,15.992,10
Ohio,-2.7968,2
New York,15.7872,2
New York,3.0814,2
New York,33.57,9
New York,10.9939,1
New York,27.2862,3
Illinois,-14.773,5
Michigan,87.5684,2
Michigan,178.901,5
Michigan,130.87,4
Michigan,46.9278,9
New York,12.0904,7
Washington,28.1764,2
California,5.1435,5
California,6.0858,3
Colorado,-51.7191,3
Colorado,29.95,5
Colorado,30.0768,4
Florida,2.4585,3
Florida,85.5297,3
Georgia,43.2234,3
Colorado,-13.8468,3
Colorado,12.2328,3
California,272.792,5
California,5.0128,4
Minnesota,6.0288,3
California,85.904,2
California,12.6,7
Michigan,54.3332,4
New Jersey,3.1752,1
Indiana,56.511,2
Arizona,9.8625,5
Arizona,3.0144,2
Washington,6.068,4
Washington,22.6782,3
Washington,31.6,4
New York,178.318,10
New York,45.9754,2
New York,10.312,8
Ohio,8.516400000,2
Ohio,-2.6544,2
Ohio,45.3222,2
Illinois,-50.098,2
Illinois,-3.462,2
Texas,124.929,7
Texas,-135.765,14
Texas,-118.1295,5
Texas,-4.2222,3
New York,18.398,5
Kentucky,5.2626,3
Texas,2.079,3
Texas,28.7064,3
Texas,28.6182,3
Ohio,8.7285,5
Illinois,-14.3856,3
Illinois,-71.8905,1
Illinois,11.36,8
Illinois,1.7115,5
Indiana,16.5888,3
Indiana,17.505,5
Indiana,40.7499,3
Texas,-7.392,3
Texas,4.5201,3
Texas,-41.262,3
Texas,-320.2395,3
New York,4.6644,3
New York,2.5984,2
New York,18.522,4
North Carolina,-3839.9904,4
North Carolina,14.651,2
Mississippi,163.1898,3
Mississippi,6.8714,2
Mississippi,9.3312,3
New York,4.799600000,2
Virginia,14.5614,1
Virginia,74.0532,1
Virginia,10.3152,3
California,24.936,1
California,16.032,5
Pennsylvania,17.3488,8
Pennsylvania,17.76,4
Pennsylvania,62.8075,7
Pennsylvania,31.7512,4
Pennsylvania,0.8088,1
Pennsylvania,-13.6312,2
Pennsylvania,-3.4272,3
Ohio,4.1448,3
Washington,35.6796,3
California,-13.8717,3
North Carolina,3.6288,2
North Carolina,18.7695,5
North Carolina,2.2824,1
New York,52.7824,4
New York,-110.49,5
New York,15.768,8
New York,26.6304,1
Florida,8.8624,4
New York,109.7226,6
New York,89.3142,2
New York,113.9886,3
Washington,6.972,5
Delaware,3.0814,2
Ohio,24.4758,3
Utah,19.4376,3
Utah,21.996,6
California,73.41,3
Michigan,231.4116,3
Michigan,80.0199,3
Pennsylvania,21.112,5
Florida,5.1282,7
Texas,6.3684,2
Texas,5.5992,1
New York,84.0512,8
New York,-153.3456,2
New York,10.089,3
New York,102.4998,3
New York,3.024,2
Washington,9.717600000,3
Washington,86.3856,3
Washington,33.6474,6
Washington,9.4284,4
Washington,18.6956,1
Washington,6.552,5
California,8.496600000,2
Illinois,4.2717,3
Illinois,-64.7748,3
Illinois,-5.487,2
Texas,-10.948,5
Texas,1.1466,1
Texas,1.6762,1
Texas,6.206400000,4
California,-28.356,10
California,7.186400000,4
Illinois,0.899400000,1
Michigan,26.703,3
Michigan,56.7864,11
Michigan,22.792,7
Michigan,1.4112,1
California,374.9925,3
California,28.7712,4
Florida,-167.3184,4
Minnesota,6.8768,2
Minnesota,47.92,4
New York,4.2666,3
Wisconsin,10.224,4
California,27.9936,9
Georgia,5.6994,3
Ohio,-26.9955,3
Louisiana,5.3392,2
Louisiana,25.47,3
Louisiana,258.696,6
Louisiana,2.7072,3
Louisiana,34.3548,6
Florida,23.316,2
Virginia,179.7488,2
Iowa,9.14,2
Iowa,51.75,3
Iowa,16.175,5
Iowa,3.4695,1
Iowa,10.881,2
Iowa,14.5236,7
Ohio,3.6855,7
California,40.8006,3
California,28.1718,3
California,11.7208,4
California,1.926,1
Ohio,-22.449,5
Ohio,-2.7,2
Ohio,-15.6156,1
Ohio,0.599800000,2
South Carolina,87.7443,3
California,5.8914,2
California,34.8928,2
Virginia,69.1008,4
Virginia,4.1634,1
Virginia,21.0896,8
Virginia,79.9056,3
North Carolina,85.2475,5
California,4.5816,2
California,10.6428,4
Minnesota,9.8784,7
New York,63.7392,7
New York,6.2208,2
New York,10.3488,7
California,17.745,5
California,7.3359,1
California,18.8972,2
New York,99.4896,9
Louisiana,6.2208,2
California,6.2152,2
Colorado,4.3176,3
Colorado,247.996,4
Nebraska,11.076,2
Nebraska,50.9898,3
Washington,3.2256,4
Washington,311.652,5
Washington,62.0368,4
Washington,2.578,2
California,6.2152,2
California,601.9699,7
Wisconsin,24.8832,8
Pennsylvania,1.8704,1
Pennsylvania,14.5152,8
Pennsylvania,-2.4288,3
Pennsylvania,0,5
Pennsylvania,-22.7964,3
Pennsylvania,117.432,4
New Jersey,71.991,3
New Jersey,4.8118,2
California,4.068,4
California,40.3128,3
Minnesota,16.8,7
Minnesota,10.7996,4
Minnesota,7.4872,2
Kentucky,90.588,2
Kentucky,50.5848,3
Kentucky,51.8346,2
Kentucky,17.1574,1
Florida,2.6412,2
Florida,6.5164,2
Florida,-111.4995,1
Texas,-79.3352,4
Tennessee,3.2616,2
Texas,1.5804,3
New York,16.3215,3
New York,3.3408,4
New York,9.302400000,4
California,11.7,4
California,8.7672,4
California,3.2944,2
California,6.8714,2
Kentucky,23.4416,7
Kentucky,77.7438,3
Ohio,8.5568,4
New Jersey,49.6048,7
California,1.3416,2
California,18.6624,6
Mississippi,50.1876,6
New York,14.6718,2
New York,9.717600000,3
New York,18.7812,2
New York,26.598,10
New York,5.7672,2
New Jersey,3.5767,1
New Jersey,3.58,2
California,0.1472,2
California,10.626,2
Florida,40.6878,6
Florida,0.590400000,2
Florida,5.1786,2
Virginia,1.3583,1
Virginia,21.2954,1
Pennsylvania,5.1792,4
Pennsylvania,-35.928,6
Pennsylvania,-760.98,5
Pennsylvania,-46.797,3
New Hampshire,17.22,3
New York,5.2256,2
New York,37.2204,7
North Carolina,67.256,5
New Hampshire,64.518,3
New Hampshire,13.1956,1
New Hampshire,66.9546,3
Pennsylvania,-4.1244,4
New York,23.1093,3
New York,262.39,5
Virginia,8.3268,2
California,5.9312,4
Michigan,10.048,5
New York,5.9364,2
California,4.5318,3
California,1.6752,12
Maryland,18.4534,7
California,16.9932,6
New York,14.995,5
New York,18.6006,3
Michigan,2.043,1
Michigan,5.4128,4
Michigan,135.98,8
California,42.0714,7
California,24.5028,3
Texas,5.0856,2
Michigan,51.8,7
New York,22.5408,8
Ohio,-6.5296,2
Texas,3.393,5
Texas,-32.088,4
Illinois,20.2485,3
California,9.6192,3
California,2.5984,2
California,6.2208,2
New York,12.1176,4
New York,2.7279,7
New York,19.791,3
Michigan,323.946,4
Michigan,829.3754,7
Michigan,81.0474,2
Connecticut,9.102,6
Wisconsin,19.2454,1
Wisconsin,56.0547,9
Texas,-18.5562,2
Texas,-56.996,4
Texas,-14.5656,3
Texas,50.4063,3
Texas,-0.812,1
Virginia,6.8768,2
New York,34.9074,3
New York,10.5552,1
New York,113.848,5
New York,294.5488,2
Pennsylvania,5.4432,3
Pennsylvania,53.55,5
Virginia,12.936,4
Virginia,9.5172,2
Ohio,2.5536,3
Ohio,21.3408,3
Ohio,5.0286,3
Pennsylvania,4.1148,3
Pennsylvania,15.2064,8
Pennsylvania,-21.7932,6
Pennsylvania,5.4432,3
Pennsylvania,33.5772,2
New Mexico,54.3966,1
California,6.2208,2
California,34.9648,4
California,8.0464,2
California,2.2098,2
California,41.7852,4
Washington,15.552,5
Washington,140.5482,3
Washington,62.91,5
Arizona,-204.4458,3
Pennsylvania,-12.9122,7
Pennsylvania,75.5424,6
Pennsylvania,-619.596,12
Pennsylvania,5.4432,3
Pennsylvania,7.92,6
Pennsylvania,7.6416,4
Texas,2.7168,2
Texas,-11.596,2
Mississippi,43.45,5
Arizona,2.5893,1
Arizona,-3.168,2
Arizona,5.6376,3
California,53.196,2
California,28.1372,2
Arkansas,3.0576,2
California,10.94,2
Florida,1.6704,2
New York,4.8118,2
New York,9.7119,3
New York,6.2208,2
New York,91.968,4
New York,4.2336,3
New York,0,3
Pennsylvania,28.5984,6
Pennsylvania,-31.05,3
Pennsylvania,-13.6312,2
Pennsylvania,10.1493,3
New York,3.218600000,7
New York,25.5798,3
Oregon,-0.792,2
Michigan,679.996,2
North Carolina,-2.6256,2
Indiana,16.6698,3
New York,93.2232,6
Colorado,0.8056,1
Colorado,55.9984,2
Colorado,75.490000000,5
Texas,2.5896,2
Texas,9.4392,4
Texas,44.868,3
Texas,-1.8904,2
New York,72.807,5
New York,5.2113,3
Florida,131.2785,5
New York,5.484,2
California,4.9104,3
California,69.705,5
Virginia,1276.4871,7
Virginia,173.0316,3
Kentucky,4.9082,1
Kentucky,9.8901,3
Kentucky,9.158,5
Kentucky,12.9129,7
Oklahoma,54.7136,2
Michigan,70.006,2
Missouri,34.0704,3
Indiana,10.881,5
Michigan,32.16,5
Michigan,412.5394,7
Wisconsin,10.7849,7
Wisconsin,673.8816,8
Illinois,-36.6744,2
Illinois,-14.8704,2
Texas,-46.3998,3
Texas,-9.133500000,3
Texas,-39.5118,3
Illinois,-70.49,5
Texas,-21.808,5
Texas,-12.849000000,5
Texas,-81.3065,5
Illinois,-30.294,6
Texas,-52.8908,2
Texas,-96.4704,3
Texas,-14.196,5
Illinois,-175.26,4
Texas,-1.4413,1
Illinois,-7.476,2
Illinois,-12.7512,3
Illinois,-10.1736,3
Illinois,-6.8094,3
Texas,-6.3,4
Illinois,-40.0036,7
Texas,-20.7306,9
New Jersey,12.098,1
New Hampshire,26.598,1
New York,4.949700000,1
Massachusetts,3.2406,2
New York,10.9096,2
New York,2.9568,2
Massachusetts,15.5856,3
New York,20.4822,3
New York,18.3456,3
Connecticut,17.324,4
Massachusetts,88.725,5
New Jersey,76.47,5
Maryland,4.6464,6
Maryland,227.205,9
Massachusetts,260.6112,9
New York,10.647,1
New York,1.3098,1
New York,72.5344,2
New York,140.396,2
New York,-6.549000000,5
New York,-28.9764,2
New York,-10.019600000,2
New York,-25.2956,2
Ohio,-3.689200000,2
Ohio,10.3936,2
Pennsylvania,23.316,2
Ohio,1.6056,3
Pennsylvania,5.2773,3
Pennsylvania,2.2512,3
Pennsylvania,13.846,5
Pennsylvania,15.386,5
Pennsylvania,3.4848,6
Ohio,69.0018,7
Pennsylvania,36.225,7
Pennsylvania,4.7976,8
Pennsylvania,7.2144,9
Pennsylvania,0,1
Ohio,-7.098000000,2
Ohio,-7.8588,2
Pennsylvania,-29.1528,2
Maryland,-47.1798,3
Pennsylvania,-15.418800000,6
Pennsylvania,-73.176,8
Ohio,-122.877,3
New York,-153.1224,9
Pennsylvania,-45.3492,3
Pennsylvania,-78.078,5
Louisiana,33.8744,2
Virginia,168.4704,2
Alabama,2.7776,2
Virginia,71.2296,2
Virginia,79.1934,3
Kentucky,74.8098,3
Louisiana,3.0438,3
Virginia,11.1776,4
Louisiana,346.0396,4
Georgia,88.725,5
Virginia,75.68,5
Virginia,119.686,7
Virginia,158.529,7
Virginia,125.5824,9
North Carolina,4.7712,1
Florida,1.999,2
North Carolina,25.1808,2
Florida,-15.7176,3
Florida,5.7312,3
Florida,5.775,3
Tennessee,14.4495,5
Tennessee,-142.071,3
California,15.525,1
Washington,39.7488,2
Washington,37.9962,2
California,15.468,2
California,3.0096,2
California,3.6894,2
Utah,10.5672,2
Washington,23.7864,2
California,3.2352,3
California,15.4872,3
Washington,34.146,3
California,19.7712,4
California,10.3936,4
California,27.3096,4
Idaho,14.7,4
Washington,34.8128,4
California,8.636,5
California,51.474,6
California,11.4576,7
California,16.4647,7
California,14.098,2
California,3.419600000,2
California,225.735,5
California,0,1
Washington,5.4801,1
Oregon,3.0338,1
California,2.625100000,1
California,23.84,2
California,-29.9178,2
California,-65.0352,2
California,-8.078400000,2
Washington,-6.098,2
Arizona,10.3936,2
Arizona,-42.4116,3
California,-36.441,3
Colorado,3.3534,3
Colorado,-13.3176,3
California,7.469400000,3
California,28.436400000,3
California,12.178,4
California,9.503200000,4
Colorado,54.352800000,4
California,-67.941,5
California,0,5
California,90.972,7
Washington,-23.035200000,8
Colorado,-152.9847,3
Arizona,-320.597,5
Michigan,38.4372,2
Michigan,6.1704,2
Oklahoma,54.7756,2
Michigan,48.4704,3
Michigan,14.8491,3
Indiana,356.225,5
Missouri,37.884,5
Michigan,134.5302,7
Michigan,136.665,9
Illinois,-14.8704,2
Texas,-68.1302,2
Texas,-350.49,5
Texas,-88.784,5
Illinois,-66.062,1
Texas,-8.5008,2
Texas,-16.5858,2
Illinois,-26.7558,3
Texas,-4.0128,4
Texas,-3.94,5
Texas,-11.322,5
Illinois,-292.9872,6
Texas,-95.2476,6
Illinois,-7.4358,9
Connecticut,9.8856,2
New York,6.0288,3
New York,20.7808,4
Maryland,252.59,5
New York,6.8388,1
New York,63.9345,7
New York,5.1294,1
Ohio,29.769,1
Ohio,7.689600000,6
Ohio,-24.2352,1
Connecticut,-15.5826,1
West Virginia,-76.9536,3
New York,-14.1639,3
New York,-295.9785,5
New York,-290.8752,7
New York,-108.3348,9
Virginia,40.473,5
Florida,23.924,1
Florida,0,2
Florida,13.7862,3
Florida,41.262,3
Florida,6.0412,4
Florida,12.9888,6
Florida,98.480200000,7
California,10.4148,3
California,8.7372,3
Washington,5.5341,3
Washington,30.582,3
California,11.6496,4
Washington,71.928,10
California,20.0392,1
California,10.8588,1
California,-12.7785,1
Washington,8.878400000,2
California,-1.7772,2
California,9.102,2
Arizona,105.0228,4
California,20.196,4
California,-31.843,5
Washington,14.6902,7
California,111.517,7
Missouri,15.2225,1
Michigan,33.2156,2
Michigan,72.6408,3
Iowa,4.6221,3
Missouri,53.2704,3
Oklahoma,23.6529,3
Oklahoma,213.6888,6
Texas,-14.5764,1
Texas,-28.6862,1
Illinois,-6.019600000,2
Texas,-29.2524,2
Texas,-6.089000000,2
Texas,-1.2178,2
Texas,-131.951,2
Illinois,-70.1043,3
Texas,-32.6646,3
Illinois,-12.148,4
Texas,-17.745,5
Texas,-4.497,5
